CustomerNumber,CustomerName,StreetName,City,State,ZIP,Country,,,,,,,,,
1000705,DONUT PLUS,14740 NW CORNELL RD,PORTLAND,OR,97229-5400,USA,,,,,,,,,
1000707,TERESITA'S MEXICAN B,3731 MCKINLEY AVE,TACOMA,WA,98404-3035,USA,,,,,,,,,
1000708,DONA QUEEN DONUTS &,2445 4TH AVE S,SEATTLE,WA,98134-1939,USA,,,,,,,,,
1000712,WHOLESALE BAKING - C,2809 MARKET ST NE,SALEM,OR,97301-1644,USA,,,,,,,,,
1000714,JOY'S BAKERY,823 METCALF ST,SEDRO WOOLLEY,WA,98284-1422,USA,,,,,,,,,
1000715,PITA KING BAKERY,2210 37TH ST,EVERETT,WA,98201-4509,USA,,,,,,,,,
1000716,AN XUYEN - PORTLAND,5345 SE FOSTER RD,PORTLAND,OR,97206-2937,USA,,,,,,,,,
1000717,LANVIN FRENCH BAKERY,8211 NE BRAZEE ST,PORTLAND,OR,97220-5394,USA,,,,,,,,,
1000718,GOOD NEIGHBOR,4107 SE 82ND AVE,PORTLAND,OR,97266-2915,USA,,,,,,,,,
1000721,DORRIS'S DONUTS,1724 FRONT ST,LYNDEN,WA,98264-1261,USA,,,,,,,,,
1000722,BAKER'S BREAKFAST CO,427 OHIO ST,BELLINGHAM,WA,98225-4641,USA,,,,,,,,,
1000723,LA PROVENCE BAKERY,4726 SE DIVISION ST,PORTLAND,OR,97206-1510,USA,,,,,,,,,
1000724,MRS JOHNSON'S DONUTS,330 RAINIER AVE S,RENTON,WA,98057-2403,USA,,,,,,,,,
1000725,HELEN BERNHARD BAKER,1717 NE BROADWAY ST,PORTLAND,OR,97232-1775,USA,,,,,,,,,
1000726,MRS FIELDS COOKIES 5,12502 SE 259TH ST,KENT,WA,98030-8470,USA,,,,,,,,,
1000729,SALVADOR'S BAKERY II,3790 SILVERTON RD NE,SALEM,OR,97305-3585,USA,,,,,,,,,
1000730,PORTLAND FRENCH,6840 N MARINE DR,PORTLAND,OR,97203-6492,USA,,,,,,,,,
